# energy_eV sigma_m2
1.36480000e+01 1.08546291e-21
1.36600000e+01 1.09768306e-21
1.36610000e+01 1.09870865e-21
1.36620000e+01 1.09973402e-21
1.36670000e+01 1.10487501e-21
1.36690000e+01 1.10693912e-21
1.36700000e+01 1.10796816e-21
1.36710000e+01 1.10899472e-21
1.36740000e+01 1.11207267e-21
1.36750000e+01 1.11311566e-21
1.36860000e+01 1.12466971e-21
1.36890000e+01 1.12784490e-21
1.36900000e+01 1.12889594e-21
1.36910000e+01 1.12994545e-21
1.36930000e+01 1.13201608e-21
1.36950000e+01 1.13408827e-21
1.36960000e+01 1.13514623e-21
1.36970000e+01 1.13620543e-21
1.36980000e+01 1.13724491e-21
1.37060000e+01 1.14559320e-21
1.37100000e+01 1.14979767e-21
1.37120000e+01 1.15189212e-21
1.37150000e+01 1.15503399e-21
1.37160000e+01 1.15608372e-21
1.37170000e+01 1.15713092e-21
1.37200000e+01 1.16027642e-21
1.37260000e+01 1.16658365e-21
1.37290000e+01 1.16974281e-21
1.37320000e+01 1.17297015e-21
1.37350000e+01 1.17619748e-21
1.37370000e+01 1.17835326e-21
1.37390000e+01 1.18051266e-21
1.37410000e+01 1.18267092e-21
1.37430000e+01 1.18483401e-21
1.37450000e+01 1.18699391e-21
1.37470000e+01 1.18913921e-21
1.37500000e+01 1.19236167e-21
1.37540000e+01 1.19664811e-21
1.37550000e+01 1.19771925e-21
1.37610000e+01 1.20416232e-21
1.37640000e+01 1.20739850e-21
1.37650000e+01 1.20847796e-21
1.37660000e+01 1.20955623e-21
1.37690000e+01 1.21278965e-21
1.37710000e+01 1.21494983e-21
1.37740000e+01 1.21819644e-21
1.37750000e+01 1.21927999e-21
1.37760000e+01 1.22036409e-21
1.37840000e+01 1.22905263e-21
1.37870000e+01 1.23242618e-21
1.37900000e+01 1.23580959e-21
1.37940000e+01 1.24032605e-21
1.37960000e+01 1.24258946e-21
1.37970000e+01 1.24375515e-21
1.37980000e+01 1.24492130e-21
1.38020000e+01 1.24957635e-21
1.38030000e+01 1.25074324e-21
1.38050000e+01 1.25307314e-21
1.38130000e+01 1.26260868e-21
1.38140000e+01 1.26380548e-21
1.38160000e+01 1.26620036e-21
1.38210000e+01 1.27220158e-21
1.38220000e+01 1.27340057e-21
1.38230000e+01 1.27459815e-21
1.38320000e+01 1.28541644e-21
1.38330000e+01 1.28662417e-21
1.38350000e+01 1.28904164e-21
1.38400000e+01 1.29510733e-21
1.38420000e+01 1.29752829e-21
1.38440000e+01 1.29994906e-21
1.38450000e+01 1.30115812e-21
1.38460000e+01 1.30243916e-21
1.38480000e+01 1.30489349e-21
1.38490000e+01 1.30611974e-21
1.38500000e+01 1.30734948e-21
1.38510000e+01 1.30858438e-21
1.38600000e+01 1.32018101e-21
1.38610000e+01 1.32156179e-21
1.38620000e+01 1.32297549e-21
1.38630000e+01 1.32423751e-21
1.38650000e+01 1.32706072e-21
1.38670000e+01 1.32972948e-21
1.38680000e+01 1.33108738e-21
1.38690000e+01 1.33245534e-21
1.38750000e+01 1.34130379e-21
1.38770000e+01 1.34465277e-21
1.38800000e+01 1.35035308e-21
1.38810000e+01 1.35246459e-21
1.38910000e+01 1.36779243e-21
1.38930000e+01 1.37101519e-21
1.38940000e+01 1.37264940e-21
1.38950000e+01 1.37429869e-21
1.38960000e+01 1.37596323e-21
1.38980000e+01 1.37934120e-21
1.38990000e+01 1.38101335e-21
1.39010000e+01 1.38406091e-21
1.39020000e+01 1.38559200e-21
1.39040000e+01 1.38883179e-21
1.39050000e+01 1.39041633e-21
1.39060000e+01 1.39201460e-21
1.39100000e+01 1.39856938e-21
1.39160000e+01 1.40919958e-21
1.39170000e+01 1.41111133e-21
1.39200000e+01 1.41683146e-21
1.39210000e+01 1.41848488e-21
1.39220000e+01 1.42014742e-21
1.39230000e+01 1.42181860e-21
1.39240000e+01 1.42349985e-21
1.39250000e+01 1.42519154e-21
1.39330000e+01 1.43914030e-21
1.39350000e+01 1.44275582e-21
1.39360000e+01 1.44456700e-21
1.39370000e+01 1.44633509e-21
1.39380000e+01 1.44811645e-21
1.39400000e+01 1.45153026e-21
1.39420000e+01 1.45497337e-21
1.39500000e+01 1.46907167e-21
1.39520000e+01 1.47268988e-21
1.39540000e+01 1.47634431e-21
1.39560000e+01 1.47981655e-21
1.39570000e+01 1.48141719e-21
1.39590000e+01 1.48463336e-21
1.39620000e+01 1.48951067e-21
1.39680000e+01 1.49944236e-21
1.39710000e+01 1.50449661e-21
1.39720000e+01 1.50619490e-21
1.39730000e+01 1.50790405e-21
1.39740000e+01 1.50955975e-21
1.39750000e+01 1.51123896e-21
1.39780000e+01 1.51622222e-21
1.39800000e+01 1.51977950e-21
1.39810000e+01 1.52150254e-21
1.39830000e+01 1.52499521e-21
1.39900000e+01 1.53796430e-21
1.39910000e+01 1.53996298e-21
1.39920000e+01 1.54202286e-21
1.39930000e+01 1.54407358e-21
1.39940000e+01 1.54613512e-21
1.39960000e+01 1.55054418e-21
1.40020000e+01 1.56152944e-21
1.40040000e+01 1.56527931e-21
1.40070000e+01 1.57101582e-21
1.40080000e+01 1.57295061e-21
1.40090000e+01 1.57491162e-21
1.40100000e+01 1.57683339e-21
1.40110000e+01 1.57876905e-21
1.40120000e+01 1.58072311e-21
1.40130000e+01 1.58262535e-21
1.40140000e+01 1.58459292e-21
1.40150000e+01 1.58640191e-21
1.40200000e+01 1.59462580e-21
1.40210000e+01 1.59630657e-21
1.40230000e+01 1.59972042e-21
1.40300000e+01 1.61240848e-21
1.40310000e+01 1.61418894e-21
1.40320000e+01 1.61595473e-21
1.40340000e+01 1.61929501e-21
1.40360000e+01 1.62266076e-21
1.40370000e+01 1.62435461e-21
1.40400000e+01 1.62947664e-21
1.40410000e+01 1.63120089e-21
1.40450000e+01 1.63818387e-21
1.40470000e+01 1.64173155e-21
1.40480000e+01 1.64351802e-21
1.40510000e+01 1.64881818e-21
1.40530000e+01 1.65227169e-21
1.40540000e+01 1.65400056e-21
1.40560000e+01 1.65746763e-21
1.40640000e+01 1.67167510e-21
1.40660000e+01 1.67530407e-21
